bmrk_eng_nm,bmrk_nm,curr_cd,exchdg_yn,fd_estb_ctry_cd,fd_ivst_rgn_desc,fd_mm18_ern_r,fd_mm1_ern_r,fd_mm3_ern_r,fd_mm6_ern_r,fd_nast_suma,fd_set_pcd,fd_wk1_ern_r,fd_yr1_ern_r,fd_yr2_ern_r,fd_yr3_ern_r,fd_yr5_ern_r,frc_bpr_itm_yn,fss_itm_no,hdge_fd_yn,int_dvd_desc,itm_abrv_nm,itm_eabrv_nm,itm_eng_nm,itm_nm,itm_no,kofia_fd_ccd,ksd_itm_no,mtco_itm_no,ofsfd_yn,or_attr_desc,or_co_xtn_itt_cd,ovrs_fd_desc,pers_corp_desc,pfiv_sale_cntl_tcd,prvo_fd_desc,prvo_pbff_desc,rptt_ksd_itm_no,sale_yn,std_itm_no,thco_sale_yn,trusc_xtn_itt_cd,zrin_fd_ivst_risk_gcd,zrin_fd_ivst_risk_grd_nm,risk_grade,risk_available,as_of_date,source_table
KOSPI200 25% + KAP Bond Index 01Y 75%,KOSPI200 25% + 종합채권01Y 75%,KRW,,000,국내,45.19,-0.07,11.62,22.47,131043595508.0000,10,2.68,32.31,41.27,49.02,50.54,0,0010172C8059,0,배당,브이아이실적포커스30투자1(채권혼합)CPe2,,브이아이실적포커스30증권투자신탁1호[채권혼합]종류C-PE2,브이아이실적포커스30증권투자신탁1호[채권혼합]종류C-Pe2,KR5116430038,14111A12036012111ZZ4,KRZ50137398D,00AG025,0,채권혼합,00040018,국내,개인,00,해당없음,공모,0304200AG025,판매중,K55104BT9796,Y,00020032,5,낮은 위험,5.0,True,2026-07-11,PRFD01N001
KAP Bond Index 03Y 90%,종합채권03Y 90%,KRW,,000,국내,-4.55,-0.97,-2.62,-4.11,153359381691.0000,10,0.72,-5.83,0.17,6.99,3.00,0,0010173C4764,0,배당,삼성코리아중기채권증권자1호(채권)CP,,SAMSUNG KOREA MID TERM BOND SECURITIES FEEDER INVESTMENT TRUST [BOND} CP,삼성코리아중기채권증권자투자신탁제1호[채권]CP,KR5114420011,11113Y12036013122265,KRZ501803275,01M7300,0,채권형,00040010,국내,개인,00,해당없음,공모,0302001M7300,판매중,KR5105AH8380,Y,00020081,5,낮은 위험,5.0,True,2026-07-11,PRFD01N001
KOSPI 200,KOSPI200,KRW,,000,국내,245.04,-0.96,42.97,98.14,68022192713.0000,10,10.14,183.62,192.27,216.32,196.19,0,0010205C4528,0,배당,미래에셋퇴직연금코어밸류자1(주)CP2e,,미래에셋퇴직연금코어밸류증권자투자신탁1호(주식)C-P2E,미래에셋퇴직연금코어밸류증권자투자신탁1호(주식)C-P2e,KR5153450210,12113912060011211ZZ1,KRZ501972533,307751,0,주식형,00080008,국내,해당없음,00,해당없음,공모,031910307750,판매중,K55301BT7957,Y,00020081,1,매우 높은 위험,1.0,True,2026-07-11,PRFD01N001
KRX 300,KRX 300,KRW,N,000,국내,,,,,1993510039.0000,10,,,,,,0,0010183C2806,0,배당,교보악사파워KRX300인덱스(주-파)CF,,교보악사파워KRX300인덱스증권투자신탁(주식-파생형)CLASSCF,교보악사파워KRX300인덱스증권투자신탁(주식-파생형)ClassCf,KR5120470048,12211712015017111262,KRZ502233895,0322230,0,06,00040001,국내,법인,00,해당없음,공모,030400322230,판매완료,K55207C81105,Y,00020020,,,,False,2026-07-11,PRFD01N001
KOSPI200 10% +  KAP Bond Index 01Y 90%,KOSPI200 10% + 종합채권 01Y 90%,KRW,,000,국내,9.21,-1.39,-0.57,2.48,27289531576.0000,10,2.04,1.45,8.99,16.67,17.89,0,0011959C0124,0,배당,트러스톤공모주알파증권투자(채권혼합)Ce,,트러스톤공모주알파증권투자신탁[채권혼합] CE클래스,트러스톤공모주알파증권투자신탁[채권혼합] Ce클래스,KR5172430054,14111612343012622ZZ5,KRZ501764643,0036381,0,채권혼합,00080043,국내,해당없음,00,해당없음,공모,029000036381,판매중,KR5363AA5638,Y,00020003,4,보통 위험,4.0,True,2026-07-11,PRFD01N001
MSCI NORTH AMERICA,MSCI NORTH AMERICA,KRW,N,000,남미/북미,42.54,2.17,21.83,20.27,100808537645.0000,10,0.68,48.04,65.16,,,0,0010205C6986,0,배당,미래에셋미국나스닥100인덱자(주)(UH)A-e,,미래에셋미국나스닥100인덱스증권자투자신탁(주식)(UH) 종류A-E,미래에셋미국나스닥100인덱스증권자투자신탁(주식)(UH) 종류A-e,KR5153451126,12123212015107112202,KRZ502498582,0307944,0,주식형,00080008,해외,해당없음,00,해당없음,공모,031910307944,판매중,K55301E64215,Y,00020027,2,높은 위험,2.0,True,2026-07-11,PRFD01N001
S&P 500,S&P 500,KRW,Y,000,남미/북미,19.07,-0.85,9.97,7.27,632801825924.0000,10,-0.03,19.62,31.64,62.81,,0,0010198C5628,0,배당,KB스타미국S&P500인덱스자(주-파)(H)C-Pe,,KBSTAR S&P500 INDEX SECURITIES FEEDER FUND(EQUITY-DERIVATIVES) C-PE,KB스타 미국 S&P500 인덱스 증권 자투자신탁(주식-파생형)(H) C-Pe,KR5127470034,12223A1203610511126B,KRZ50156610B,0002A82,0,06,00040035,해외,개인,00,해당없음,공모,030230002A82,판매중,K55223DS0337,Y,00020088,2,높은 위험,2.0,True,2026-07-11,PRFD01N001
KAP Bond Index 03Y 90%,종합채권03Y 90%,KRW,,000,국내,-0.58,-0.24,-0.94,-1.63,598657593263.0000,10,0.63,-2.13,3.05,13.89,13.54,0,0010205C0798,0,배당,미래에셋솔로몬중장기국공채1호(채권)F,,MIRAEASSET SOLOMON MEDIUM-LONG TERM FEEDER INVESTMENT TRUST (FIXED INCOME) CLASS F,미래에셋솔로몬중장기국공채증권자투자신탁1호(채권)F,KR5153420077,11113C110010131ZZZZ5,KRZ500562554,0007430,0,채권형,00080008,국내,해당없음,00,해당없음,공모,031910007430,판매중,KR5301943811,Y,00020081,5,낮은 위험,5.0,True,2026-07-11,PRFD01N001
TSE REIT TR 90%,TSE REIT TR 90%,KRW,Y,000,아시아,,,,,1491503909.0000,10,,,,,,0,0010189C1388,0,배당,한화Japan REITs부동산1(리츠재간접)A,,JAPAN REITS FUND OF FUNDS 1CLASS 01,한화Japan REITs 부동산투자신탁1호(리츠-재간접형) A,KR5129490010,171212120011644ZZ20C,KRZ500151981,0001621,0,재간접,00040027,해외,해당없음,00,해당없음,공모,030220001621,판매완료,KR5213925070,Y,00020081,,,,False,2026-07-11,PRFD01N001
KOSPI 200,KOSPI200,KRW,,000,국내,0.00,0.00,0.00,0.00,40384090681.0000,10,0.00,0.00,0.00,-0.83,-1.45,0,0010182C1680,0,배당,키움코리아에이스증권자투자제1호(주식)C3,,키움코리아에이스증권자투자신탁제1호(주식)C3,키움코리아에이스증권자투자신탁제1호(주식)C3,KR5123450043,12113412301011111112,KRZ500134918,0008221,0,주식형,00080052,국내,해당없음,00,해당없음,공모,030270008221,판매중,KR5206960860,Y,00020088,2,높은 위험,2.0,True,2026-07-11,PRFD01N001
MSCI ACWI  90% + Call 10%,MSCI ACWI  90% + Call 10%,KRW,Y,000,글로벌,20.19,-0.94,8.49,6.80,282666834537.0000,10,-0.60,17.36,31.16,63.17,49.30,0,0010660C5691,0,배당,한국투자웰링턴글로벌퀄리티자H(주식)CP,,한국투자웰링턴글로벌퀄리티증권자투자신탁H(주식) 종류 C-P,한국투자웰링턴글로벌퀄리티증권자투자신탁H(주식) 종류 C-P,KR5113450250,12123412036021101ZZC,KRZ502055559,0005A50,0,주식형,00040024,해외,개인,00,해당없음,공모,032280005A50,판매중,K55101BD5175,Y,00020081,3,다소 높은 위험,3.0,True,2026-07-11,PRFD01N001
MSCI AC ASIA PACIFIC ex JAPAN,MSCI AC ASIA PACIFIC ex JAPAN,KRW,N,000,아시아,16.02,-2.16,5.27,6.51,71208873913.0000,10,-1.61,19.74,23.93,48.62,14.37,0,000000000000,0,배당,미래에셋아시아퍼시픽소비성장자1(주식)C5,,미래에셋아시아퍼시픽소비성장증권자투자신탁1호(주식)종류C5,미래에셋아시아퍼시픽소비성장증권자투자신탁1호(주식)종류C5,KR5153450039,00000000000000000000,KRZ500243389,610402,0,주식형,00080008,해외,해당없음,00,해당없음,공모,031910610400,판매중,KR5301985044,Y,00020054,2,높은 위험,2.0,True,2026-07-11,PRFD01N001
MSCI ACWI CR 25% + KAP Bond Index 01Y 75%,MSCI ACWI CR 25% + 종합채권01Y 75%,KRW,N,000,글로벌,25.33,1.13,10.37,13.55,112711081771.0000,10,1.20,24.44,32.87,48.89,,0,0010205C6641,0,배당,미래에셋연금동행TRF중립형(채혼재)C-P,,미래에셋연금동행TRF중립형증권투자신탁(채권혼합-재간접형) 종류C-P,미래에셋연금동행TRF중립형증권투자신탁(채권혼합-재간접형) 종류C-P,KR5153490697,16131A12036022111ZZ4,KRZ502524441,0536640,0,재간접,00080008,국내외혼합,개인,00,해당없음,공모,031910536640,판매중,K55301DW7737,Y,00020054,4,보통 위험,4.0,True,2026-07-11,PRFD01N001
Rogers International Commodity TR 90% + CD 10%,Rogers International Commodity TR 90% + CD 10%,KRW,Y,000,글로벌,,,,,340452276.0000,10,,,,,,0,0010211C2044,0,배당,유리천연가스자H(파생결합증권파생형)Ae,,유리글로벌천연가스증권자투자신탁H[파생결합증권-파생형]_C/A-E,유리글로벌천연가스증권자투자신탁H[파생결합증권-파생형]_C/A-e,KR5151470017,132236123470253ZZ18A,KRZ500589003,0058331,0,06,00080010,해외,해당없음,00,해당없음,공모,032610058331,판매완료,KR5307167365,Y,00020027,,,,False,2026-07-11,PRFD01N001
CSI 300 LOCAL 90% + CALL 10%,CSI 300 LOCAL 90% + CALL 10%,KRW,Y,000,아시아,36.64,-5.89,6.21,14.02,376890316583.0000,10,-1.14,42.52,41.89,29.51,-8.64,0,0010198C4982,0,배당,KB중국본토A주증권자투자신탁[주식]C-Pe,,KB중국본토A주증권자투자신탁(주식) C-PE 클래스,KB중국본토A주증권자투자신탁(주식) C-Pe 클래스,KR5127450293,12123A1203617110120B,KRZ50168699J,0002D36,0,주식형,00040035,해외,개인,00,해당없음,공모,030230002D36,판매중,K55223DC7587,Y,00020027,2,높은 위험,2.0,True,2026-07-11,PRFD01N001
MSCI AC ASIA PACIFIC,MSCI AC ASIA PACIFIC,KRW,Y,000,글로벌,,,,,,10,,,,,,0,000000000000,0,배당,미래PanAsiaIT1주C5,,MIRAEASSET PAN ASIA IT SECTOR FUND 1(EQUITY)C5,미래에셋PanAsiaIT섹터증권투자신탁1호(주식)C5,KR510902679M,00000000000000000000,KRZ500372227,532126,0,주식형,00080008,해외,해당없음,00,해당없음,공모,031910532120,판매완료,KR5301987149,Y,00020004,,,,False,2026-07-11,PRFD01N001
MSCI ACWI CR 50% + KAP Bond Index 01Y 50%,MSCI ACWI CR 50% + 종합채권01Y 50%,KRW,Y,000,글로벌,39.98,1.95,19.89,24.26,31124354430.0000,10,2.60,38.99,47.38,70.35,60.31,0,0010183C3024,0,배당,교보악사평생든든적격TDF2045(주혼재)CRe(퇴),,교보악사 평생든든적격 TDF 2045 증권자투자신탁(주식혼합-재간접형) Class C-Re(퇴직연금),교보악사 평생든든적격 TDF 2045 증권자투자신탁(주식혼합-재간접형) Class C-Re(퇴직연금),KR5120490075,16131A120600211ZZZZB,KRZ50233769A,0362510,0,재간접,00040001,국내외혼합,해당없음,00,해당없음,공모,030400362510,판매중,K55207CP6437,Y,00020027,3,다소 높은 위험,3.0,True,2026-07-11,PRFD01N001
MSCI ACWI CR 50% + KAP Bond Index 01Y 50%,MSCI ACWI CR 50% + 종합채권01Y 50%,KRW,N,000,글로벌,,1.49,,,24815052661.0000,10,1.83,,,,,0,0010214C2117,0,배당,마이다스기본적격TDF2040혼합자산자CPe1,,마이다스기본적격TDF2040혼합자산자투자신탁 C-PE1,마이다스기본적격TDF2040혼합자산자투자신탁 C-Pe1,KR5157480021,1913361203602ZZZZZZ3,KRZ502639576,0054767,0,혼합자산,00080005,국내외혼합,개인,00,해당없음,공모,031740054767,판매중,K55303EN4997,Y,00020081,3,다소 높은 위험,3.0,True,2026-07-11,PRFD01N001
JACI IG 35% + KIS Treasury 01Y 55%,JACI IG 35% + KIS국공채01Y 55%,KRW,Y,000,글로벌,,,,,,10,,,,,,0,000000000000,0,배당,미래디스커버리G1채A,,MIRAEASSET DISCOVERY BABY FUND G1(BOND)-A,미래에셋디스커버리증권자투자신탁G1호(채권)(C-A),KR510901003M,00000000000000000000,KRZ500306771,530921,0,채권형,00080008,국내외혼합,해당없음,00,해당없음,공모,031910530920,판매완료,KR5301638619,Y,00020054,,,,False,2026-07-11,PRFD01N001
MSCI ACWI,MSCI ACWI,KRW,Y,000,글로벌,,,,,335218172.0000,10,,,,,,0,0010205C6123,0,배당,미래에셋성장테마리밸런싱EMP자(주재)CP2e,,미래에셋성장테마리밸런싱EMP증권자투자신탁(주식-재간접형) 종류C-P2E,미래에셋성장테마리밸런싱EMP증권자투자신탁(주식-재간접형) 종류C-P2E,KR5153490675,16121612060021111ZZB,KRZ50243484D,0536980,0,재간접,00080008,해외,해당없음,00,해당없음,공모,031910536980,판매완료,K55301D99288,Y,00020054,,,,False,2026-07-11,PRFD01N001
MSCI EM CR 50% + KOSPI 50%,MSCI EM CR 50% + KOSPI 50%,KRW,Y,000,글로벌,,,,,,10,,,,,,0,000000000000,0,배당,미래부모GL이머징1C4,,MIRAEASSET PARENTS LOVE GLOBAL EMERGING FUND 1(EQUITY)C4,미래에셋부모님사랑글로벌이머징증권자투자신탁1호(주식)C4,KR510902538M,00000000000000000000,KRZ500478167,532546,0,주식형,00080008,국내외혼합,해당없음,00,해당없음,공모,031910532540,판매완료,KR5301984781,Y,00020027,,,,False,2026-07-11,PRFD01N001
KOSPI 33.3% + MSCI BRAZIL CR 33.3% + MSCI RUSSIA CR 33.3%,KOSPI 33.3% + MSCI BRAZIL CR 33.3% + MSCI RUSSIA CR 33.3%,KRW,N,000,글로벌,,,,,,10,,,,,,0,000000000000,0,배당,미래KorBRu포커스71Ce,,MIRAEASSET KorBRussia FOCUS 7  FUND 1(EQUITY)(C-Ce),미래에셋KorBRussia포커스7증권투자신탁1호(주식)(C-Ce),KR510902320M,00000000000000000000,KRZ500485094,532814,0,주식형,00080008,국내외혼합,해당없음,00,해당없음,공모,031910532810,판매완료,KR5301837765,Y,00020004,,,,False,2026-07-11,PRFD01N001
MSCI ACWI Utilities,MSCI ACWI Utilities,KRW,Y,000,글로벌,28.62,0.14,18.81,19.24,567795564.0000,10,1.72,33.84,,,,0,0010205C7270,0,배당,미래에셋글로벌 EMP증권자2호(재간)Ce,,미래에셋글로벌코어테크 EMP증권자투자신탁2호(주식-재간접형) 종류C-e,미래에셋글로벌코어테크 EMP증권자투자신탁2호(주식-재간접형) 종류C-e,KR5153490737,16121612001021519ZZ2,KRZ502600395,0539100,0,재간접,00080008,해외,해당없음,00,해당없음,공모,031910539100,판매중,K55301ED5329,Y,00020088,2,높은 위험,2.0,True,2026-07-11,PRFD01N001
MSCI WI,MSCI WI,KRW,Y,410,글로벌,6.80,-0.27,4.77,1.13,5574084420.0000,10,-0.06,4.22,13.84,33.88,36.98,0,0011999C0119,0,배당,AB글로벌로우볼(주식-재간접형)A,,AB글로벌로우볼증권투자신탁(주식-재간접형) A,AB글로벌로우볼증권투자신탁(주식-재간접형) A,KR5182490100,16121212001021101ZZC,KRZ502046871,0014100,0,재간접,00080042,해외,해당없음,00,해당없음,공모,034880014100,판매중,K55370BC3266,Y,00020054,4,보통 위험,4.0,True,2026-07-11,PRFD01N001
Bloomberg U.S. High Yeild 2% Issuer cap 90% + Call 10%,Bloomberg U.S. High Yeild 2% Issuer cap 90% + Call 10%,KRW,Y,000,남미/북미,,,,,,10,,,,,,0,000000000000,0,배당,피델미국하이일채재A,,FIDELITY KOREA-US HIGH YIELD BABY INVESTMENT TRUST (BOND-FUND OF FUNDS)CLASS A,피델리티미국하이일드증권자투자신탁(채권-재간접형) 종류A,KR5148420130,00000000000000000000,KRZ501815311,0050211,0,재간접,00080029,해외,해당없음,00,해당없음,공모,033180050211,판매완료,KR5235AH7724,Y,00020054,,,,False,2026-07-11,PRFD01N001
MSCI ACWI CR 25% + KAP Bond Index 01Y 75%,MSCI ACWI CR 25% + 종합채권01Y 75%,KRW,N,000,국내,,-0.40,3.54,7.90,63516576913.0000,10,0.44,,,,,0,0010192C00YC,0,배당,DB프리즘EMP증권투자신탁[혼재]C-E,,DB프리즘EMP증권투자신탁[혼합-재간접형]종류C-E,DB프리즘EMP증권투자신탁[혼합-재간접형]종류C-E,KR5131490071,161116120010121ZZZZ4,KRZ502624285,0061201,0,재간접,00040006,국내,해당없음,00,해당없음,공모,030190061201,판매중,K55216EJ6077,Y,00020027,4,보통 위험,4.0,True,2026-07-11,PRFD01N001
MSCI EUROPE,MSCI EUROPE,KRW,Y,000,글로벌,,,,,,10,,,,,,0,000000000000,0,배당,미래유럽밸류1주식A,,MIRAEASSET DISCOVERY EUROPE VALUE FUND1(EQUITY)A,미래에셋디스커버리유럽밸류증권투자신탁1호(주식)(C-A),KR510902147M,00000000000000000000,KRZ500392471,532271,0,주식형,00080008,해외,해당없음,00,해당없음,공모,000000000000,판매완료,KR5301731521,,00020027,,,,False,2026-07-11,PRFD01N001
KOSPI200 25% + KIS Bond Index 01Y 75%,KOSPI200 25% + KIS채권종합01Y 75%,KRW,,000,국내,,,,,,10,,,,,,0,000000000000,0,배당,미래올마이티안정혼1,,MIRAEASSET ALMIGHTY SA-HY NO.1,미래에셋 올마이티 안정혼합투자신탁1호,KR511013546M,00000000000000000000,KRZ500056790,303101,0,채권혼합,00080008,국내,해당없음,00,해당없음,공모,000000000000,판매완료,KR5227352923,,00020088,,,,False,2026-07-11,PRFD01N001
MSCI ACWI CR 50% + KAP Bond Index 01Y 50%,MSCI ACWI CR 50% + 종합채권01Y 50%,KRW,Y,000,글로벌,28.76,0.87,10.62,11.62,73668766563.0000,10,1.65,25.32,36.09,62.15,,0,0011317C2969,0,배당,NH하나로적격TDF2050[주혼재]Ce,,NH-Amundi 하나로 적격 TDF 2050 증권투자신탁[주식혼합-재간접형]Class Ce,NH-Amundi 하나로 적격 TDF 2050 증권투자신탁[주식혼합-재간접형]Class Ce,KR5144490066,161316120010221ZZZZC,KRZ502504184,00BPM06,0,재간접,00040040,국내외혼합,해당없음,00,해당없음,공모,0325700BPM06,판매중,K55232D43648,Y,00020054,3,다소 높은 위험,3.0,True,2026-07-11,PRFD01N001
KOSPI 200,KOSPI200,KRW,,000,국내,,,,,,10,,,,,,0,000000000000,0,배당,미래녹색성장1주식Ce3,,미래에셋녹색성장증권투자신탁 1(주식)(C-e3),미래에셋녹색성장증권투자신탁 1(주식)(C-e3),KR5153450077,00000000000000000000,KRZ501560278,0512500,0,주식형,00080008,국내,해당없음,00,해당없음,공모,031910512500,판매완료,KR5301933432,Y,00020020,,,,False,2026-07-11,PRFD01N001
CSI 300 LOCAL 90% + CALL 10%,CSI 300 LOCAL 90% + CALL 10%,KRW,Y,000,아시아,20.91,-14.52,-5.59,-3.98,18396857471.0000,10,-3.37,15.68,20.91,0.46,-33.53,0,0010192C4509,0,배당,DB차이나본토RQFII자(H)(주식)C3,,DB차이나본토RQFII증권자투자신탁(H)[주식] C3,DB차이나본토RQFII증권자투자신탁(H)[주식] C3,KR5131450043,12123412001171101ZZB,KRZ501969625,0069510,0,주식형,00040006,해외,해당없음,00,해당없음,공모,030190069510,판매중,K55216B12103,Y,00020081,2,높은 위험,2.0,True,2026-07-11,PRFD01N001
KOSPI 200,KOSPI200,KRW,,000,국내,247.89,2.07,50.23,102.66,96270525932.0000,10,8.53,192.10,221.17,252.67,184.18,0,0010173C6636,0,배당,삼성클래식연금전환형자투자1(주식)Ce,,삼성클래식연금증권전환형자투자신탁 1[주식]CE,삼성클래식연금증권전환형자투자신탁 1[주식]Ce,KR5114450222,12113612036011111113,KRZ501536702,02M9500,0,주식형,00040010,국내,개인,00,해당없음,공모,0302002M9500,판매중,K55105BG6945,Y,00020081,2,높은 위험,2.0,True,2026-07-11,PRFD01N001
MSCI AC ASIA ex JAPAN,MSCI AC ASIA ex JAPAN,KRW,N,000,아시아,41.14,-2.19,20.43,34.31,108116049402.0000,10,-4.35,50.03,50.59,68.72,13.54,0,000000000000,0,배당,미래에셋아시아그레이트컨슈머자1(주재)Ce,,미래에셋아시아그레이트컨슈머증권자투자신탁1호(주식-재간접형)C-E,미래에셋아시아그레이트컨슈머증권자투자신탁1호(주식-재간접형)C-e,KR510909139M,1612361200103110126C,KRZ501847867,532637,0,재간접,00080008,해외,해당없음,00,해당없음,공모,031910532630,판매중,KR5301AL0714,Y,00020081,2,높은 위험,2.0,True,2026-07-11,PRFD01N001
MSCI ACWI Health Care,MSCI ACWI Health Care,KRW,Y,000,글로벌,-6.45,-15.26,-18.88,-27.05,6800953652.0000,10,-2.10,-31.20,-11.59,-20.57,-59.12,0,0010192C7164,0,배당,DB차이나바이오헬스케어자투자H[주식]Ae,,DB차이나바이오헬스케어증권자투자신탁(H)[주식] 종류 AE,DB차이나바이오헬스케어증권자투자신탁(H)[주식] 종류 Ae,KR5131450096,12123612001171111ZZA,KRZ502333482,0062701,0,주식형,00040006,해외,해당없음,00,해당없음,공모,030190062701,판매중,K55216CJ3969,Y,00020081,1,매우 높은 위험,1.0,True,2026-07-11,PRFD01N001
KOSPI200 25% + KAP Bond Index 01Y 75%,KOSPI200 25% + 종합채권01Y 75%,KRW,,000,국내,30.37,0.61,8.17,15.58,6973879933.0000,10,1.91,23.74,28.97,33.55,31.61,0,0010198C2073,0,배당,KB가치배당20자(채권혼합)A,,KB VALUE DIVIDEND 20 SECURITIES FEEDER FUND(BOND MIXED) A CLASS,KB가치배당20증권자투자신탁(채권혼합)A,KR513304023M,14113212301012111ZZ4,KRZ501969261,0002M71,0,채권혼합,00040035,국내,해당없음,00,해당없음,공모,030230002M71,판매중,K55223B05152,Y,00020020,5,낮은 위험,5.0,True,2026-07-11,PRFD01N001
KOSPI200 50% + KAP Bond Index 01Y 50%,KOSPI200 50% + 종합채권01Y 50%,KRW,,000,국내,134.27,2.13,32.79,64.94,8589975570.0000,10,6.33,109.12,123.33,142.43,111.76,0,000000000000,0,배당,미래에셋개인연금전환자1호(주혼),,미래에셋개인연금증권전환형자투자신탁1호(주식혼합),미래에셋개인연금증권전환형자투자신탁1호(주식혼합),KR510903077M,13113Z12902011111264,KRZ501698620,512032,0,주식혼합,00080008,국내,개인,00,해당없음,공모,031910512032,판매중,KR5301A31531,Y,00020088,2,높은 위험,2.0,True,2026-07-11,PRFD01N001
KAP Bond Index 02Y 90%,종합채권02Y 90%,KRW,,000,글로벌,,0.20,20.60,12.62,29545374386.0000,20,0.04,,,,,0,0010173C00QH,0,배당,삼성글로벌CoreAI목표전환형3호[채재]Ce,,삼성 글로벌 CORE AI 목표전환형 증권 투자신탁 제3호[채권-재간접형]_CE,삼성 글로벌 Core AI 목표전환형 증권 투자신탁 제3호[채권-재간접형]_Ce,KR5114440063,131216320110211ZZZZ2,KRZ502640374,01MOQ00,0,주식혼합,00040010,해외,해당없음,00,해당없음,공모,0302001MOQ00,판매중,K55105EN7859,Y,00020088,5,낮은 위험,5.0,True,2026-07-11,PRFD01N001
KAP CD 26W 90%,KAP CD 6개월  90%,KRW,N,000,국내,4.54,0.10,0.56,1.29,1363424860585.0000,10,0.04,2.46,6.92,,,0,0010182C2768,0,배당,키움더드림단기채증권투자신탁[채권] C-F,,키움더드림단기채증권투자신탁[채권] CLASS C-F,키움더드림단기채증권투자신탁[채권] Class C-F,KR5123420042,11111712001013121ZZ6,KRZ502194506,0003765,0,채권형,00080052,국내,해당없음,00,해당없음,공모,030270003765,판매중,K55206BN9005,Y,00020020,6,매우 낮은 위험,6.0,True,2026-07-11,PRFD01N001
